title,url,points,published_time
Show HN: Apple's Sharp Running in the Browser via ONNX Runtime Web,https://github.com/bring-shrubbery/ml-sharp-web,63 points,4 hours ago
A couple million lines of Haskell: Production engineering at Mercury,https://blog.haskell.org/a-couple-million-lines-of-haskell/,301 points,13 hours ago
This Month in Ladybird – April 2026,https://ladybird.org/newsletter/2026-04-30/,393 points,16 hours ago
Group averages obscure how an individual's brain controls behavior: study,https://med.stanford.edu/news/all-news/2026/04/brain-scans-individual-versus-group.html,37 points,5 hours ago
Dav2d,https://code.videolan.org/videolan/dav2d,522 points,19 hours ago
Six Years Perfecting Maps on WatchOS,https://www.david-smith.org/blog/2026/04/29/maps-on-watchos/,351 points,16 hours ago
Windows quality update: Progress we've made since March,https://blogs.windows.com/windows-insider/2026/05/01/windows-quality-update-progress-weve-made-since-march/,82 points,8 hours ago
Utilyze measures how efficiently your GPU is doing useful work,https://github.com/systalyze/utilyze,15 points,3 hours ago
Do_not_track,https://donottrack.sh/,397 points,19 hours ago
"Neanderthals ran 'fat factories' 125,000 years ago (2025)",https://www.universiteitleiden.nl/en/news/2025/07/neanderthals-ran-fat-factories-125000-years-ago,225 points,16 hours ago
Unverified Evaluations in Dusk's PLONK,https://osec.io/blog/2026-04-30-unverified-evaluations-dusk-plonk/,28 points,6 hours ago
Investors pile into clean energy as Iran war drives push for energy security,https://www.ft.com/content/9921f2b5-c910-4cec-a50f-cad453935a1a,55 points,3 hours ago
Care homes and hotels in Japan shut as expansion strategy unravels,https://www.newsonjapan.com/article/149075.php,61 points,11 hours ago
"Specsmaxxing – On overcoming AI psychosis, and why I write specs in YAML",https://acai.sh/blog/specsmaxxing,164 points,6 hours ago
All Four Sentinel-1 Satellites Are Now Live,https://orbitaltoday.com/2026/05/03/all-four-sentinel-1-satellites-are-now-live-and-europes-earth-watch-just-got-stronger/,3 points,2 hours ago
Inventions for battery reuse and recycling increase seven-fold in last decade,https://www.epo.org/en/news-events/news/inventions-battery-reuse-and-recycling-increase-more-seven-fold-last-decade,207 points,21 hours ago
VS Code inserting 'Co-Authored-by Copilot' into commits regardless of usage,https://github.com/microsoft/vscode/pull/310226,1296 points,17 hours ago
Systemd-manager-TUI: A TUI application for managing systemd services,https://github.com/Matheus-git/systemd-manager-tui,33 points,2 hours ago
The agent harness belongs outside the sandbox,https://www.mendral.com/blog/agent-harness-belongs-outside-sandbox,120 points,16 hours ago
A more efficient implementation of Shor's algorithm,https://lwn.net/Articles/1066156/,93 points,14 hours ago
Clojurists Together – Q2 2026 Open Source Funding Announcement,https://www.clojuriststogether.org/news/q2-2026-funding-announcement/,116 points,15 hours ago
Because it doesn't have to,https://blog.computationalcomplexity.org/2026/04/because-it-doesnt-have-to.html,60 points,11 hours ago
"Show HN: State of the Art of Coding Models, According to Hacker News Commenters",https://hnup.date/hn-sota,127 points,15 hours ago
"How fast is a macOS VM, and how small could it be?",https://eclecticlight.co/2026/05/02/how-fast-is-a-macos-vm-and-how-small-could-it-be/,253 points,1 day ago
A physics engine with incremental rollback for multiplayer games,https://easel.games/blog/2026-rollback-physics,100 points,17 hours ago
Benchmarking a Bug Scanner,https://blog.detail.dev/posts/bug-scanner/,5 points,3 hours ago
Maryland to ban A.I.-driven price increases in grocery stores,https://www.nytimes.com/2026/05/01/business/surveillance-pricing-groceries-maryland.html,188 points,11 hours ago
The USB Situation,https://randsinrepose.com/archives/the-usb-situation/,138 points,1 day ago
DeepSeek V4 – almost on the frontier,https://simonwillison.net/2026/Apr/24/deepseek-v4/,563 points,1 day ago
"AI, Intimacy, and the Data You Never Meant to Share",https://fshot.org/techzone/the-algorithm-knows.php,47 points,10 hours ago
